HAGRID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Common name	Female maturity (days)	Male maturity (days)	Gestation/Incubation (days)	Weaning (days)	Litter/Clutch size	Litters/Clutches per year	Inter-litter/Interbirth interval	Birth weight (g)	Weaning weight (g)	Adult weight (g)	Growth rate (1/days)	Maximum longevity (yrs)	Source	Specimen origin	Sample size	Data quality	IMR (per yr)	MRDT (yrs)	Metabolic rate (W)	Body mass (g)	Temperature (K)	References	scientific_name	ncbi_id
3003	Animalia	Chordata	Reptilia	Squamata	Colubridae	Macroprotodon	cucullatus	False smooth snake	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.9	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485	Macroprotodon cucullatus	186554
3004	Animalia	Chordata	Reptilia	Squamata	Colubridae	Masticophis	flagellum	Coachwhip	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.2	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451	Masticophis flagellum	94898
3005	Animalia	Chordata	Reptilia	Squamata	Colubridae	Mehelya	capensis	Lapi file snake	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.9	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485	Mehelya capensis	NA
3006	Animalia	Chordata	Reptilia	Squamata	Colubridae	Natrix	natrix	Grass snake	1460	1460	NA	NA	NA	NA	NA	NA	NA	96.25	NA	20	451	captivity	medium	acceptable	NA	NA	0.0295	94.2	290.25	19,37,451,527	Natrix natrix	100823
3007	Animalia	Chordata	Reptilia	Squamata	Colubridae	Nerodia	erythrogaster	Plain-bellied water snake	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.8	451	captivity	medium	acceptable	NA	NA	NA	NA	NA	451	Nerodia erythrogaster	34997
3008	Animalia	Chordata	Reptilia	Squamata	Colubridae	Nerodia	sipedon	Northern water snake	730	730	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.6	451	captivity	medium	acceptable	NA	NA	NA	NA	NA	451,528	Nerodia sipedon	8592
3009	Animalia	Chordata	Reptilia	Squamata	Colubridae	Nerodia	taxispilota	Brown water snake	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.1	451	captivity	small	questionable	NA	NA	NA	NA	NA	451	Nerodia taxispilota	46262
3010	Animalia	Chordata	Reptilia	Squamata	Colubridae	Opheodrys	aestivus	Rough greensnake	730	730	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.2	451	captivity	medium	acceptable	NA	NA	NA	NA	NA	451,528	Opheodrys aestivus	186591
3011	Animalia	Chordata	Reptilia	Squamata	Colubridae	Opheodrys	vernalis	Smooth green snake	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.1	451	captivity	tiny	acceptable	NA	NA	NA	NA	NA	451	Opheodrys vernalis	469619
3012	Animalia	Chordata	Reptilia	Squamata	Colubridae	Oxybelis	aeneus	Brown vine snake	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.2	451	captivity	tiny	acceptable	NA	NA	NA	NA	NA	451	Oxybelis aeneus	121354
3013	Animalia	Chordata	Reptilia	Squamata	Colubridae	Pituophis	catenifer	Gopher snake	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33.8	485	captivity	medium	acceptable	NA	NA	NA	NA	NA	485	Pituophis catenifer	94850
3014	Animalia	Chordata	Reptilia	Squamata	Colubridae	Pituophis	melanoleucus	Bull snake	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.4	485	captivity	medium	acceptable	NA	NA	NA	NA	NA	485	Pituophis melanoleucus	8595
3015	Animalia	Chordata	Reptilia	Squamata	Colubridae	Psammophis	subtaeniatus	Stripe-belly sand racer	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.8	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485	Psammophis subtaeniatus	292884
3016	Animalia	Chordata	Reptilia	Squamata	Colubridae	Pseudaspis	cana	Mole snake	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.3	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485	Pseudaspis cana	184168
3017	Animalia	Chordata	Reptilia	Squamata	Colubridae	Ptyas	mucosus	Indian rat snake	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.3	1	wild	medium	acceptable	NA	NA	NA	NA	NA	1	Ptyas mucosus	31141
3018	Animalia	Chordata	Reptilia	Squamata	Colubridae	Regina	septemvittata	Queen snake	1095	1095	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.3	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485,528	Regina septemvittata	183613
3019	Animalia	Chordata	Reptilia	Squamata	Colubridae	Rhamphiophis	oxyrhynchus	Rufous beaked snake	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.3	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485	Rhamphiophis oxyrhynchus	39364
3020	Animalia	Chordata	Reptilia	Squamata	Colubridae	Rhinocheilus	lecontei	Western long-nosed snake	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.8	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485	Rhinocheilus lecontei	94901
3021	Animalia	Chordata	Reptilia	Squamata	Colubridae	Salvadora	hexalepis	Western patch-nosed snake	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.3	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485	Salvadora hexalepis	94945
3022	Animalia	Chordata	Reptilia	Squamata	Colubridae	Senticolis	triaspis	Green rat snake	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.8	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451	Senticolis triaspis	94903
3023	Animalia	Chordata	Reptilia	Squamata	Colubridae	Spalerosophis	diadema	Diademed snake	547	547	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485,759	Spalerosophis diadema	166084
3024	Animalia	Chordata	Reptilia	Squamata	Colubridae	Spilotes	pullatus	Tropical rat snake	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.5	451	captivity	medium	acceptable	NA	NA	NA	NA	NA	451	Spilotes pullatus	186604
3025	Animalia	Chordata	Reptilia	Squamata	Colubridae	Storeria	dekayi	Brown snake	730	730	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	451	captivity	tiny	acceptable	NA	NA	NA	NA	NA	451,528	Storeria dekayi	183614
3026	Animalia	Chordata	Reptilia	Squamata	Colubridae	Storeria	occipitomaculata	Redbelly snake	730	730	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.6	451	captivity	tiny	questionable	NA	NA	NA	NA	NA	451,468	Storeria occipitomaculata	46282
3027	Animalia	Chordata	Reptilia	Squamata	Colubridae	Telescopus	semiannulatus	Eastern tiger snake	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.6	485	captivity	tiny	acceptable	NA	NA	NA	NA	NA	485	Telescopus semiannulatus	292895
3028	Animalia	Chordata	Reptilia	Squamata	Colubridae	Thamnophis	butleri	Butler's garter snake	730	NA	NA	NA	12	NA	NA	NA	NA	NA	NA	14	451	captivity	tiny	acceptable	NA	NA	NA	NA	NA	451,468	Thamnophis butleri	35002
3029	Animalia	Chordata	Reptilia	Squamata	Colubridae	Thamnophis	couchii	Western aquatic garter snake	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.7	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485	Thamnophis couchii	35003
3030	Animalia	Chordata	Reptilia	Squamata	Colubridae	Thamnophis	cyrtopsis	Eastern blackneck garter snake	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.8	485	captivity	tiny	acceptable	NA	NA	NA	NA	NA	485	Thamnophis cyrtopsis	35004
3031	Animalia	Chordata	Reptilia	Squamata	Colubridae	Thamnophis	elegans	Western terrestrial garter snake	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.8	451	captivity	tiny	acceptable	NA	NA	NA	NA	NA	451,766,883,918,950,1201	Thamnophis elegans	35005
3032	Animalia	Chordata	Reptilia	Squamata	Colubridae	Thamnophis	marcianus	Checkered garter snake	547	547	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	759	unknown	medium	acceptable	NA	NA	NA	NA	NA	759	Thamnophis marcianus	35010
3033	Animalia	Chordata	Reptilia	Squamata	Colubridae	Thamnophis	ordinoides	Northwestern garter snake	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.8	485	captivity	tiny	acceptable	NA	NA	NA	NA	NA	485	Thamnophis ordinoides	35013
3034	Animalia	Chordata	Reptilia	Squamata	Colubridae	Thamnophis	radix	Plains garter snake	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.4	451	captivity	medium	acceptable	NA	NA	NA	NA	NA	451	Thamnophis radix	35015
3035	Animalia	Chordata	Reptilia	Squamata	Colubridae	Thamnophis	sauritus	Eastern ribbon snake	730	730	NA	NA	14	NA	NA	NA	NA	NA	NA	10.6	451	captivity	small	acceptable	NA	NA	NA	NA	NA	19,451,468	Thamnophis sauritus	35017
3036	Animalia	Chordata	Reptilia	Squamata	Colubridae	Thamnophis	sirtalis	Common garter snake	730	730	100	NA	NA	NA	NA	NA	NA	150	NA	14	485	captivity	medium	acceptable	NA	NA	NA	NA	NA	176,289,448,468,485,1273	Thamnophis sirtalis	35019
3037	Animalia	Chordata	Reptilia	Squamata	Colubridae	Trimorphodon	biscutatus	Western lyresnake	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.8	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485	Trimorphodon biscutatus	338818
3038	Animalia	Chordata	Reptilia	Squamata	Colubridae	Uromacer	oxyrhynchus	Pointed snake	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.9	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485	Uromacer oxyrhynchus	643628
3039	Animalia	Chordata	Reptilia	Squamata	Colubridae	Virginia	striatula	Rough earth snake	730	547	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.2	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451,528	Virginia striatula	183606
3040	Animalia	Chordata	Reptilia	Squamata	Colubridae	Virginia	valeriae	Smooth earth snake	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.5	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451	Virginia valeriae	1346332
3041	Animalia	Chordata	Reptilia	Squamata	Cordylidae	Cordylus	cataphractus	Armadillo girdled lizard	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.2	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451	Cordylus cataphractus	94416
3042	Animalia	Chordata	Reptilia	Squamata	Cordylidae	Cordylus	cordylus	Rough-scaled girdled lizard	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.6	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451	Cordylus cordylus	94417
3043	Animalia	Chordata	Reptilia	Squamata	Cordylidae	Cordylus	giganteus	Giant spinytail lizard	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.9	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451	Cordylus giganteus	94416
3044	Animalia	Chordata	Reptilia	Squamata	Cordylidae	Cordylus	warreni	Warren's spinytail lizard	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.8	451	captivity	medium	acceptable	NA	NA	NA	NA	NA	451	Cordylus warreni	94416
3045	Animalia	Chordata	Reptilia	Squamata	Cordylidae	Gerrhosaurus	major	Rough-scaled plated lizard	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	485	captivity	medium	acceptable	NA	NA	NA	NA	NA	485	Gerrhosaurus major	126621
3046	Animalia	Chordata	Reptilia	Squamata	Cordylidae	Gerrhosaurus	validus	Giant plated lizard	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.2	451	captivity	medium	acceptable	NA	NA	NA	NA	NA	451	Gerrhosaurus validus	126621
3047	Animalia	Chordata	Reptilia	Squamata	Cordylidae	Platysaurus	guttatus	Lesser flat lizard	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.6	451	captivity	tiny	acceptable	NA	NA	NA	NA	NA	451	Platysaurus guttatus	NA
3048	Animalia	Chordata	Reptilia	Squamata	Cordylidae	Platysaurus	imperator	Emperor flat lizard	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	451	captivity	tiny	acceptable	NA	NA	NA	NA	NA	451	Platysaurus imperator	52174
3049	Animalia	Chordata	Reptilia	Squamata	Corytophanidae	Basiliscus	plumifrons	Green basilisk	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	485	captivity	large	acceptable	NA	NA	NA	NA	NA	485	Basiliscus plumifrons	52191
3050	Animalia	Chordata	Reptilia	Squamata	Corytophanidae	Basiliscus	vittatus	Brown basilisk	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.1	485	captivity	medium	acceptable	NA	NA	NA	NA	NA	485	Basiliscus vittatus	211979
3051	Animalia	Chordata	Reptilia	Squamata	Corytophanidae	Corytophanes	cristatus	Smooth helmeted iguana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.1	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451	Corytophanes cristatus	144206
3052	Animalia	Chordata	Reptilia	Squamata	Corytophanidae	Laemanctus	longipes	Eastern casquehead iguana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.4	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451	Laemanctus longipes	211983
3053	Animalia	Chordata	Reptilia	Squamata	Dactyloidae	Anolis	bimaculatus	Panther anole	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	451	captivity	tiny	acceptable	NA	NA	NA	NA	NA	451	Anolis bimaculatus	38885
3054	Animalia	Chordata	Reptilia	Squamata	Dactyloidae	Anolis	carolinensis	Green anole	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.2	451	captivity	medium	acceptable	NA	NA	NA	NA	NA	451	Anolis carolinensis	28377
3055	Animalia	Chordata	Reptilia	Squamata	Dactyloidae	Anolis	cuvieri	Puerto Rican giant anole	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.2	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451	Anolis cuvieri	38890
3056	Animalia	Chordata	Reptilia	Squamata	Dactyloidae	Anolis	equestris	Knight anole	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.5	485	captivity	medium	acceptable	NA	NA	NA	NA	NA	485	Anolis equestris	75253
3057	Animalia	Chordata	Reptilia	Squamata	Dactyloidae	Anolis	roquet	Anole	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.7	451	captivity	medium	acceptable	NA	NA	NA	NA	NA	451	Anolis roquet	118653
3058	Animalia	Chordata	Reptilia	Squamata	Diplodactylidae	Hoplodactylus	duvaucelii	Giant gecko	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451,581	Hoplodactylus duvaucelii	927625
3059	Animalia	Chordata	Reptilia	Squamata	Diplodactylidae	Naultinus	elegans	Auckland green gecko	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451	Naultinus elegans	946316
3060	Animalia	Chordata	Reptilia	Squamata	Diplodactylidae	Naultinus	gemmeus	Jewelled gecko	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451	Naultinus gemmeus	946319
3061	Animalia	Chordata	Reptilia	Squamata	Diplodactylidae	Naultinus	grayii	Northland green gecko	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451	Naultinus grayii	946320
3062	Animalia	Chordata	Reptilia	Squamata	Diplodactylidae	Naultinus	rudis	Rough scale gecko	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	451	captivity	tiny	acceptable	NA	NA	NA	NA	NA	451	Naultinus rudis	946323
3063	Animalia	Chordata	Reptilia	Squamata	Diplodactylidae	Oedura	marmorata	Marbled velvet gecko	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.2	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485	Oedura marmorata	255188
3064	Animalia	Chordata	Reptilia	Squamata	Diplodactylidae	Rhacodactylus	leachianus	New Caledonia giant gecko	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.5	451	captivity	medium	acceptable	NA	NA	NA	NA	NA	451	Rhacodactylus leachianus	95122
3065	Animalia	Chordata	Reptilia	Squamata	Elapidae	Acanthophis	antarcticus	Common death adder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.3	451	captivity	tiny	acceptable	NA	NA	NA	NA	NA	451	Acanthophis antarcticus	8605
3066	Animalia	Chordata	Reptilia	Squamata	Elapidae	Aspidelaps	lubricus	Coral snake	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451	Aspidelaps lubricus	889328
3067	Animalia	Chordata	Reptilia	Squamata	Elapidae	Aspidelaps	scutatus	Shieldnose cobra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.5	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485	Aspidelaps scutatus	8607
3068	Animalia	Chordata	Reptilia	Squamata	Elapidae	Bungarus	caeruleus	Indian krait	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.4	485	captivity	tiny	acceptable	NA	NA	NA	NA	NA	485	Bungarus caeruleus	132961
3069	Animalia	Chordata	Reptilia	Squamata	Elapidae	Bungarus	fasciatus	Red-headed krait	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.2	485	captivity	tiny	acceptable	NA	NA	NA	NA	NA	485	Bungarus fasciatus	8613
3070	Animalia	Chordata	Reptilia	Squamata	Elapidae	Bungarus	multicinctus	Many-banded krait	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.7	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485	Bungarus multicinctus	8616
3071	Animalia	Chordata	Reptilia	Squamata	Elapidae	Dendroaspis	angusticeps	Common mamba	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.8	451	captivity	medium	acceptable	NA	NA	NA	NA	NA	451	Dendroaspis angusticeps	8618
3072	Animalia	Chordata	Reptilia	Squamata	Elapidae	Dendroaspis	jamesoni	Jameson's mamba	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.1	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485	Dendroaspis jamesoni	8623
3073	Animalia	Chordata	Reptilia	Squamata	Elapidae	Dendroaspis	polylepis	Black mamba	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.2	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451	Dendroaspis polylepis	8624
3074	Animalia	Chordata	Reptilia	Squamata	Elapidae	Dendroaspis	viridis	Green mamba	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.7	485	captivity	medium	acceptable	NA	NA	NA	NA	NA	485	Dendroaspis viridis	8621
3075	Animalia	Chordata	Reptilia	Squamata	Elapidae	Elapsoidea	sundevallii	Sundevall's garter sanke	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.6	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485	Elapsoidea sundevallii	224546
3076	Animalia	Chordata	Reptilia	Squamata	Elapidae	Hemachatus	haemachatus	Ringneck spitting cobra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451	Hemachatus haemachatus	8626
3077	Animalia	Chordata	Reptilia	Squamata	Elapidae	Micruroides	euryxanthus	Western coral snake	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.6	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451	Micruroides euryxanthus	39080
3078	Animalia	Chordata	Reptilia	Squamata	Elapidae	Micrurus	fulvius	Eastern coral snake	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451	Micrurus fulvius	8637
3079	Animalia	Chordata	Reptilia	Squamata	Elapidae	Naja	atra	Indian/golden spitting cobra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.7	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485	Naja atra	8656
3080	Animalia	Chordata	Reptilia	Squamata	Elapidae	Naja	haje	Egyptian cobra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.1	451	captivity	medium	acceptable	NA	NA	NA	NA	NA	451	Naja haje	8639
3081	Animalia	Chordata	Reptilia	Squamata	Elapidae	Naja	kaouthia	Indian/monocled cobra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25.4	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485	Naja kaouthia	8649
3082	Animalia	Chordata	Reptilia	Squamata	Elapidae	Naja	melanoleuca	Black and white-lipped cobra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29.1	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485	Naja melanoleuca	8643
3083	Animalia	Chordata	Reptilia	Squamata	Elapidae	Naja	mossambica	Mozambique spitting cobra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.7	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451	Naja mossambica	8644
3084	Animalia	Chordata	Reptilia	Squamata	Elapidae	Naja	naja	Indian cobra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32.3	451	captivity	medium	acceptable	NA	NA	NA	NA	NA	451	Naja naja	35670
3085	Animalia	Chordata	Reptilia	Squamata	Elapidae	Naja	nigricollis	Blackneck spitting cobra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.2	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451	Naja nigricollis	8654
3086	Animalia	Chordata	Reptilia	Squamata	Elapidae	Naja	nivea	Cape cobra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485	Naja nivea	8655
3087	Animalia	Chordata	Reptilia	Squamata	Elapidae	Naja	pallida	Red spitting cobra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.2	485	captivity	medium	acceptable	NA	NA	NA	NA	NA	485	Naja pallida	8658
3088	Animalia	Chordata	Reptilia	Squamata	Elapidae	Naja	samarensis	Indian/southeastern philippine cobra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.4	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485	Naja samarensis	8660
3089	Animalia	Chordata	Reptilia	Squamata	Elapidae	Naja	sputatrix	Indian/Indochinese spitting cobra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.5	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485	Naja sputatrix	33626
3090	Animalia	Chordata	Reptilia	Squamata	Elapidae	Notechis	scutatus	Mainland tigersnake	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.1	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485	Notechis scutatus	8663
3091	Animalia	Chordata	Reptilia	Squamata	Elapidae	Ophiophagus	hannah	King cobra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.5	485	captivity	tiny	acceptable	NA	NA	NA	NA	NA	485	Ophiophagus hannah	8665
3092	Animalia	Chordata	Reptilia	Squamata	Elapidae	Oxyuranus	scutellatus	Taipan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.6	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451	Oxyuranus scutellatus	8668
3093	Animalia	Chordata	Reptilia	Squamata	Elapidae	Pseudechis	australis	King grown/brown snake	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.1	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485	Pseudechis australis	8670
3094	Animalia	Chordata	Reptilia	Squamata	Elapidae	Pseudechis	porphyriacus	Australian purplish death adder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.6	485	captivity	medium	acceptable	NA	NA	NA	NA	NA	485	Pseudechis porphyriacus	8671
3095	Animalia	Chordata	Reptilia	Squamata	Erycidae	Eryx	colubrinus	Kenya sand-boa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.7	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451	Eryx colubrinus	51864
3096	Animalia	Chordata	Reptilia	Squamata	Erycidae	Eryx	conicus	Rough-scaled sand-boa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28.2	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485	Eryx conicus	51867
3097	Animalia	Chordata	Reptilia	Squamata	Erycidae	Eryx	jaculus	Caucasian sand-boa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.7	485	captivity	tiny	acceptable	NA	NA	NA	NA	NA	485	Eryx jaculus	51869
3098	Animalia	Chordata	Reptilia	Squamata	Erycidae	Eryx	johnii	John's Indian sand-boa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.4	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485	Eryx johnii	51870
3099	Animalia	Chordata	Reptilia	Squamata	Erycidae	Eryx	tataricus	Tartar sand-boa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451	Eryx tataricus	51873
3100	Animalia	Chordata	Reptilia	Squamata	Eublepharidae	Coleonyx	elegans	Mexican banded gecko	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	451	captivity	tiny	questionable	NA	NA	NA	NA	NA	451	Coleonyx elegans	449387
3101	Animalia	Chordata	Reptilia	Squamata	Eublepharidae	Coleonyx	variegatus	Western banded gecko	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.2	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485	Coleonyx variegatus	52435
3102	Animalia	Chordata	Reptilia	Squamata	Eublepharidae	Eublepharis	macularius	Leopard gecko	400	400	55	NA	2	NA	NA	NA	NA	NA	NA	28.5	451	captivity	large	acceptable	NA	NA	NA	NA	NA	448,451	Eublepharis macularius	481883
3103	Animalia	Chordata	Reptilia	Squamata	Eublepharidae	Hemitheconyx	caudicinctus	African fat-tailed gecko	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.2	451	captivity	medium	acceptable	NA	NA	NA	NA	NA	451	Hemitheconyx caudicinctus	96741
3104	Animalia	Chordata	Reptilia	Squamata	Gekkonidae	Chondrodactylus	angulifer	Namib sand gecko	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.8	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451	Chondrodactylus angulifer	202837
3105	Animalia	Chordata	Reptilia	Squamata	Gekkonidae	Chondrodactylus	bibronii	Bibron's gecko	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.1	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451	Chondrodactylus bibronii	502494
3106	Animalia	Chordata	Reptilia	Squamata	Gekkonidae	Christinus	marmoratus	Marbled gecko	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.8	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451	Christinus marmoratus	221556
