Patho-Nr,English,Tierart,scientific_name,Abbreviation,Institution,Location
Z/332/13,Rattlesnake,Klapperschlange,Crotalus,RS_1_H,fiwi,"Vienna, Austria"
Z/332/13,Rattlesnake,Klapperschlange,Crotalus,RS_1_L,fiwi,"Vienna, Austria"
Z/332/13,Rattlesnake,Klapperschlange,Crotalus,RS_1_S,fiwi,"Vienna, Austria"
Z/332/13,Rattlesnake,Klapperschlange,Crotalus,RS_1_LU,fiwi,"Vienna, Austria"
Z/61/14,Rattlesnake,Klapperschlange,Crotalus,RS_2_H,fiwi,"Vienna, Austria"
Z/61/14,Rattlesnake,Klapperschlange,Crotalus,RS_2_L,fiwi,"Vienna, Austria"
Z/61/14,Rattlesnake,Klapperschlange,Crotalus,RS_2_LU,fiwi,"Vienna, Austria"
AC/339/12,Rhinoceros iguana,Nashornleguan,Cyclura cornuta,RI_1_H,fiwi,"Vienna, Austria"
AC/339/12,Rhinoceros iguana,Nashornleguan,Cyclura cornuta,RI_1_L,fiwi,"Vienna, Austria"
AC/339/12,Rhinoceros iguana,Nashornleguan,Cyclura cornuta,RI_1_S,fiwi,"Vienna, Austria"
AC/339/12,Rhinoceros iguana,Nashornleguan,Cyclura cornuta,RI_1_LU,fiwi,"Vienna, Austria"
AC/593/12,Rhinoceros iguana,Nashornleguan,Cyclura cornuta,RI_2_H,fiwi,"Vienna, Austria"
AC/593/12,Rhinoceros iguana,Nashornleguan,Cyclura cornuta,RI_2_L,fiwi,"Vienna, Austria"
AC/593/12,Rhinoceros iguana,Nashornleguan,Cyclura cornuta,RI_2_LU,fiwi,"Vienna, Austria"
Z/307/11,Armadillo,Guerteltier,Dasypodidae,AR_1_H,fiwi,"Vienna, Austria"
Z/307/11,Armadillo,Guerteltier,Dasypodidae,AR_1_L,fiwi,"Vienna, Austria"
Z/307/11,Armadillo,Guerteltier,Dasypodidae,AR_1_S,fiwi,"Vienna, Austria"
Z/307/11,Armadillo,Guerteltier,Dasypodidae,AR_1_LU,fiwi,"Vienna, Austria"
Z/307/11,Armadillo,Guerteltier,Dasypodidae,AR_1_LN,fiwi,"Vienna, Austria"
AC/953/11,Armadillo,Guerteltier,Dasypodidae,AR_2_H,fiwi,"Vienna, Austria"
AC/953/11,Armadillo,Guerteltier,Dasypodidae,AR_2_L,fiwi,"Vienna, Austria"
AC/953/11,Armadillo,Guerteltier,Dasypodidae,AR_2_S,fiwi,"Vienna, Austria"
AC/953/11,Armadillo,Guerteltier,Dasypodidae,AR_2_LU,fiwi,"Vienna, Austria"
AC/853/11,European pond turtle,Sumpfschildkroete,Emydidae,EPT_1_H,fiwi,"Vienna, Austria"
AC/853/11,European pond turtle,Sumpfschildkroete,Emydidae,EPT_1_L,fiwi,"Vienna, Austria"
AC/853/11,European pond turtle,Sumpfschildkroete,Emydidae,EPT_1_S,fiwi,"Vienna, Austria"
AC/853/11,European pond turtle,Sumpfschildkroete,Emydidae,EPT_1_LU,fiwi,"Vienna, Austria"
